problem,noise_level,sample_size,a0,a1,a2,a3,a4,b0,RMSE_obs_train,R2_obs_train,NRMSEr_obs_train,NRMSEm_obs_train,RMSE_obs_test,R2_obs_test,NRMSEr_obs_test,NRMSEm_obs_test,RMSE_clean_train,R2_clean_train,NRMSEr_clean_train,NRMSEm_clean_train,RMSE_clean_test,R2_clean_test,NRMSEr_clean_test,NRMSEm_clean_test,RMSE_obs_test_x0OOD,R2_obs_test_x0OOD,NRMSEr_obs_test_x0OOD,NRMSEm_obs_test_x0OOD,RMSE_obs_test_x1OOD,R2_obs_test_x1OOD,NRMSEr_obs_test_x1OOD,NRMSEm_obs_test_x1OOD,RMSE_obs_test_x0x1OOD,R2_obs_test_x0x1OOD,NRMSEr_obs_test_x0x1OOD,NRMSEm_obs_test_x0x1OOD,RMSE_clean_test_x0OOD,RMSE_clean_test_x1OOD,RMSE_clean_test_x0x1OOD,estimated_param_name,hessian_train_loss_autodiff,hessian_train_loss_finite_diff,estimated_param_mean,estimated_param_median,estimated_param_diameter,estimated_param_diameter_95,estimated_param_std,a5
new_1_1,0.0001,32,0.2601634239189825,,,,,4.42429934429804,54.36342,0.051511586,0.35428894,1.1524041,46.0196,0.18237633,0.19316217,1.3350686,54.364815,0.051516116,0.35427356,1.1524999,46.019627,0.18237281,0.19318074,1.3350797,327.45538,-7.348714,0.82398677,0.9776384,49.068714,0.18394089,0.2066647,1.4149095,318.4508,-7.3321095,0.8198006,0.9754624,327.45493,49.068806,318.4504,a0,1880.8770751953125,1988.8174106199585,0.2601616931418587,0.2601617291492072,2.6917047086238988e-06,9.88455788608622e-07,2.852665622535071e-07,
new_1_1,0.0001,128,0.0190156106091614,,,,,3.964871625459685,51.550724,0.05930513,0.2163614,1.2958912,52.15142,0.058096766,0.21087359,1.4395891,51.55038,0.059313416,0.2163665,1.2958711,52.151485,0.05809349,0.21087801,1.4396105,367.45288,-9.28993,0.9282189,1.1112354,55.28019,0.10384643,0.23450921,1.5052443,375.2557,-10.300714,0.96734804,1.1080844,367.45273,55.27971,375.25574,a0,1362.6175537109375,1364.8532080878795,0.01901430385729104,0.01901429555396585,5.9469683870022605e-06,1.1634107454985831e-06,5.311084864437633e-07,
new_1_1,0.0001,512,0.035034742208339,,,,,3.727864239235548,50.083683,0.05804789,0.20894578,1.3500164,51.181026,0.075149834,0.21331693,1.3815289,50.083572,0.05804819,0.20893946,1.3500322,51.180965,0.075149834,0.21331216,1.381524,368.86557,-10.347756,0.9307156,1.1038524,52.32877,0.08320671,0.21951096,1.4710035,367.26108,-9.520321,0.9445837,1.1099858,368.86584,52.3291,367.26126,a0,1259.2767333984375,1254.460612017283,0.03503379520504472,0.03503380095368125,2.348766196397234e-06,1.3783280343945825e-06,2.863428344679543e-07,
new_1_1,0.0001,2048,0.0482574348836379,,,,,3.746318495934553,51.5263,0.055855274,0.21150444,1.3645455,50.818142,0.09675896,0.21079837,1.3307017,51.52632,0.05585444,0.21151192,1.3645498,50.817913,0.09675914,0.21080154,1.3306929,368.1438,-9.924423,0.93279284,1.0986725,53.86849,0.0888769,0.2261715,1.3917753,365.55875,-10.006834,0.9375637,1.0992421,368.14398,53.868473,365.55884,a0,1313.9541015625,1322.6896753621986,0.04825574845216308,0.0482557269228843,3.930528950903123e-06,2.666713707397128e-06,5.825535655457078e-07,
new_1_1,0.001,32,0.2601633806591709,,,,,4.426739858138646,54.35085,0.051471353,0.35442758,1.1515418,46.026703,0.18215078,0.19302602,1.3351814,54.364826,0.0515157,0.35427362,1.1525002,46.02689,0.1821146,0.19321124,1.3352903,327.4367,-7.3471813,0.82379985,0.9775739,49.074818,0.18370616,0.20664646,1.4151359,318.43152,-7.3310804,0.81962407,0.975392,327.43204,49.075676,318.42755,a0,1880.8770751953125,1796.94795042451,0.26016169818517315,0.260161741784145,2.622199122392921e-06,1.1224068282023048e-06,2.812665485198142e-07,
new_1_1,0.001,128,0.0190156674835782,,,,,3.964555569913693,51.553814,0.059230804,0.21631555,1.2960718,52.150684,0.05813366,0.21083306,1.4393928,51.55038,0.059313416,0.2163665,1.2958711,52.151283,0.05810082,0.2108772,1.4396049,367.4572,-9.29018,0.92826766,1.1112435,55.284348,0.10383177,0.23434444,1.505283,375.25812,-10.300266,0.9676035,1.1080968,367.4557,55.27948,375.25873,a0,1362.6175537109375,1340.3103876044042,0.019014305259962495,0.01901429175816215,5.957625757599394e-06,1.2109103438989743e-06,5.283331270763814e-07,
new_1_1,0.001,512,0.0350348148822415,,,,,3.728328955206112,50.084717,0.058045864,0.20896724,1.349875,51.1817,0.07514769,0.21326382,1.3815765,50.083572,0.05804819,0.20893946,1.3500322,51.181038,0.07514721,0.21331246,1.3815259,368.8586,-10.347398,0.9309134,1.1038401,52.326023,0.083208084,0.21939467,1.4708724,367.25543,-9.520157,0.9446066,1.1099724,368.86148,52.329315,367.25687,a0,1259.2767333984375,1256.7331373247725,0.035033811098441815,0.03503378048244405,2.4857742872974598e-06,1.521232415500895e-06,3.113910049504435e-07,
new_1_1,0.001,2048,0.0482577440498124,,,,,3.746407880783998,51.52612,0.05586171,0.21139807,1.3645084,50.82023,0.09675789,0.21076992,1.330781,51.526318,0.05585462,0.21151191,1.3645496,50.81791,0.09675932,0.21080153,1.3306929,368.14133,-9.924195,0.9324906,1.0986711,53.86867,0.08887887,0.22598563,1.3917536,365.5571,-10.007019,0.9374474,1.0992383,368.14307,53.86846,365.55795,a0,1313.9541015625,1327.221286828717,0.04825568483919099,0.04825568729174495,4.404276865800638e-06,2.595942855697364e-06,5.772459209796886e-07,
new_1_1,0.01,32,0.2601626655987691,,,,,4.451148541648774,54.22794,0.051061988,0.35584182,1.1430268,46.103565,0.17984098,0.1912641,1.3364775,54.365513,0.051491857,0.3542781,1.1525148,46.10019,0.17950743,0.19351894,1.3374169,327.25095,-7.331587,0.819504,0.97693086,49.14133,0.18130517,0.20607759,1.4175587,318.23935,-7.3205156,0.815913,0.9746908,327.20337,49.144966,318.1989,a0,1880.8770751953125,1745.2686679462204,0.26016168842525955,0.26016173604405907,1.958175117999783e-06,9.8812043397567e-07,2.4642428163604146e-07,
new_1_1,0.01,128,0.0190157124922724,,,,,3.961397146663647,51.58859,0.05847937,0.21558948,1.2979765,52.147118,0.05849105,0.20987093,1.4375366,51.550392,0.05931306,0.21636654,1.2958715,52.1493,0.058172405,0.21086918,1.4395502,367.50125,-9.292421,0.928757,1.1113262,55.329544,0.10367173,0.23271951,1.5057695,375.2831,-10.295466,0.9664596,1.108223,367.4853,55.277256,375.2885,a0,1362.6175537109375,1378.1994612145354,0.019014308080287253,0.01901429200102155,6.118624496901509e-06,1.1277174873994267e-06,5.369812223224326e-07,
